transaction	amount	category	date 	time
100001	334.36	10	2018/04/05	11:00:20
100002	60.82	6	2018/03/05	03:06:18
100003	114.39	6	2018/12/14	02:41:20
100004	284.72	3	2018/07/10	01:55:46
100005	212.31	8	2018/12/27	05:01:04
100006	278.38	10	2019/02/24	07:49:44
100007	359.15	3	2018/12/25	15:15:15
100008	194.22	10	2019/02/09	04:41:40
100009	251.45	3	2018/05/11	01:55:37
100010	236.48	8	2018/01/14	11:10:24
100011	314.52	9	2018/03/26	00:09:01
100012	-88.73	3	2018/01/03	02:18:39
100013	-140.17	3	2019/01/02	22:00:02
100014	-287.91	3	2019/01/31	13:59:12
100015	-41.65	10	2018/11/21	04:53:52
100016	-4.93	10	2018/03/27	07:42:30
100017	39.25	1	2018/10/21	10:19:31
100018	111.72	6	2019/03/07	09:12:32
100019	235.77	4	2018/12/21	15:28:05
100020	-0.87	7	2018/07/05	08:16:30
100021	-123.04	4	2018/09/23	12:04:53
100022	352.51	10	2018/10/31	18:33:31
100023	116.42	9	2019/01/27	22:02:13
100024	-123.16	3	2018/07/09	04:30:36
100025	-253.00	6	2019/01/09	17:08:18
100026	-42.58	2	2018/02/02	14:16:34
100027	-150.99	3	2018/03/10	06:24:02
100028	-200.32	2	2018/11/06	13:27:33
100029	-229.76	10	2018/03/07	03:50:23
100030	143.11	10	2018/08/13	07:45:36
100031	-144.35	2	2018/08/03	11:25:14
100032	83.79	7	2018/06/25	16:48:04
100033	338.28	4	2018/03/05	02:03:38
100034	-28.53	2	2019/01/12	17:45:21
100035	-287.79	8	2018/11/05	10:50:42
100036	191.27	5	2018/05/16	07:41:11
100037	328.65	9	2018/08/30	20:49:33
100038	-222.84	4	2018/09/14	07:54:06
100039	-268.80	6	2018/03/28	11:29:30
100040	-236.22	9	2019/02/07	08:56:09
100041	-81.19	10	2018/04/19	00:31:55
100042	-103.96	10	2018/08/02	22:12:46
100043	5.26	6	2018/03/11	09:49:42
100044	-98.83	10	2018/04/14	16:44:51
100045	216.97	3	2018/12/06	01:08:55
100046	315.00	8	2018/12/02	17:14:10
100047	228.83	10	2018/08/04	07:42:22
100048	97.48	5	2018/08/14	07:16:25
100049	-140.86	1	2019/03/05	09:35:08
100050	-104.68	6	2019/01/05	09:58:52
100051	340.35	3	2018/11/02	02:59:25
100052	138.40	3	2018/10/20	09:54:40
100053	106.94	1	2018/01/30	00:55:28
100054	298.78	5	2018/05/03	15:58:47
100055	66.05	9	2018/04/16	05:26:09
100056	-68.93	8	2018/03/20	11:17:16
100057	-108.67	7	2018/08/08	19:08:22
100058	57.99	10	2018/01/12	10:34:15
100059	-284.45	7	2018/08/11	18:06:43
100060	66.10	9	2018/09/04	02:42:12
100061	42.85	9	2018/10/06	02:09:19
100062	301.15	1	2018/09/30	09:02:58
100063	121.17	9	2018/03/18	15:41:43
100064	89.35	6	2019/03/07	10:57:11
100065	98.40	3	2018/04/28	02:04:37
100066	114.89	3	2018/12/26	16:10:30
100067	-186.24	2	2018/11/10	16:54:17
